+41882,-087628;america/chicago ~~~~~~~~~~~~~~~~ z_088.
+28635,-106089;america/chihuahua ~~~~~~~~~~~~~~ -06:00
+10000,-084000;america/costa rica ~~~~~~~~~~~~~ -06:00
+49098,-116510;america/creston ~~~~~~~~~~~~~~~~ -07:00
-15596,-056097;america/cuiaba ~~~~~~~~~~~~~~~~~ -04:00
+12183,-069000;america/curacao ~~~~~~~~~~~~~~~~ -04:00
+76767,-018667;america/danmarkshavn ~~~~~~~~~~~~~~~~~~
+64067,-139417;america/dawson ~~~~~~~~~~~~~~~~~ -07:00
+55760,-120237;america/dawson creek ~~~~~~~~~~~ -07:00
+39739,-104985;america/denver ~~~~~~~~~~~~~~~~~ z_097.
+42331,-083046;america/detroit ~~~~~~~~~~~~~~~~ z_098.
+15417,-061333;america/dominica ~~~~~~~~~~~~~~~ -04:00
+53534,-113490;america/edmonton ~~~~~~~~~~~~~~~ z_100.
-06660,-069874;america/eirunepe ~~~~~~~~~~~~~~~ -05:00
+13683,-089183;america/el salvador ~~~~~~~~~~~~ -06:00
+58806,-122696;america/fort nelson ~~~~~~~~~~~~ -07:00
-03728,-038528;america/fortaleza ~~~~~~~~~~~~~~ -03:00
+46200,-059967;america/glace bay ~~~~~~~~~~~~~~ z_105.
+64181,-051694;america/godthab ~~~~~~~~~~~~~~~~ -03:00
+48433,-053835;america/goose bay ~~~~~~~~~~~~~~ z_107.
+21472,-071139;america/grand turk ~~~~~~~~~~~~~ z_108.
+12117,-061667;america/grenada ~~~~~~~~~~~~~~~~ -04:00
+16250,-061583;america/guadeloupe ~~~~~~~~~~~~~ -04:00
+14613,-090535;america/guatemala ~~~~~~~~~~~~~~ -06:00
-02190,-079888;america/guayaquil ~~~~~~~~~~~~~~ -05:00
+06801,-058155;america/guyana ~~~~~~~~~~~~~~~~~ -04:00
+44867,-063716;america/halifax ~~~~~~~~~~~~~~~~ z_114.
+23137,-082359;america/havana ~~~~~~~~~~~~~~~~~ z_115.
+29099,-110954;america/hermosillo ~~~~~~~~~~~~~ -07:00
+39765,-086158;america/indiana/indianapolis ~~~ z_117.
+41294,-086623;america/indiana/knox ~~~~~~~~~~~ z_118.
+38371,-086343;america/indiana/marengo ~~~~~~~~ z_119.
+38492,-087280;america/indiana/petersburg ~~~~~ z_120.
+37953,-086761;america/indiana/tell city ~~~~~~ z_121.
+38745,-085071;america/indiana/vevay ~~~~~~~~~~ z_122.
+38678,-087000;america/indiana/vincennes ~~~~~~ z_123.
+41050,-086600;america/indiana/winamac ~~~~~~~~ z_124.
+68361,-133730;america/inuvik ~~~~~~~~~~~~~~~~~ z_125.
